Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,0.0
Reach infinite training,RIT_2,0.0
Reach infinite training,RIT_3,0.0
Reach infinite training,RIT_4,0.0
Reach infinite training,RIT_5,0.0
Reach infinite training,RIT_6,0.0
Reach infinite training,RIT_7,0.0
Reach infinite training,RIT_8,0.0
Reach infinite training,RIT_9,0.0
Reach infinite training,RIT_10,0.0
Reach avoid always eventually,RAE_1,32.724137931034484
Reach avoid always eventually,RAE_2,34.62068965517241
Reach avoid always eventually,RAE_3,49.10344827586207
Reach avoid always eventually,RAE_4,5.275862068965517
Reach stay infinite,RSI_1,0.0
Reach stay infinite,RSI_2,0.0
Reach stay infinite,RSI_3,0.0
Reach stay infinite,RSI_4,0.0
Reach stay infinite,RSI_5,0.0
